X;run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
2;2;500;0,0000;0,01307692307692310;0,01307692307692310;0,1425806451612900;0,1681907199567500;1;1;10;0,5;0;0,0;0;10;5;100;200;0,0500000000000000;0,1
5;5;600;0,0000;0,01529411764705880;0,01529411764705880;0,1515789473684210;0,1783676178917450;1;1;10;0,5;0;0,0;0;10;5;150;200;0,0333333333333333;0,1
8;8;500;0,0000;0,02991935483870970;0,02991935483870970;0,0736250000000000;0,1117495362887900;1;1;10;0,5;0;0,0;0;10;5;250;200;0,0200000000000000;0,1
11;11;500;0,0000;0,01470588235294120;0,01470588235294120;0,1210000000000000;0,1482833138841680;1;1;10;0,5;0;0,0;0;10;5;450;200;0,0111111111111111;0,1
14;14;700;0,0000;0,01846153846153850;0,01846153846153850;0,1250000000000000;0,1547677654567960;1;1;10;0,5;0;0,0;0;10;10;100;200;0,1000000000000000;0,1
17;17;600;0,0000;0,01312500000000000;0,01312500000000000;0,1167777777777780;0,1573507790789980;1;1;10;0,5;0;0,0;0;10;10;150;200;0,0666666666666667;0,1
20;20;600;0,0000;0,01041666666666670;0,01041666666666670;0,1133333333333330;0,1606096340368610;1;1;10;0,5;0;0,0;0;10;10;250;200;0,0400000000000000;0,1
23;23;600;0,0000;0,01821428571428570;0,01821428571428570;0,1445714285714290;0,1688733054017450;1;1;10;0,5;0;0,0;0;10;10;450;200;0,0222222222222222;0,1
26;26;600;0,0000;0,02090909090909090;0,02090909090909090;0,1317441860465120;0,1502810213635100;1;1;10;0,5;0;0,0;0;10;15;100;200;0,1500000000000000;0,1
29;29;700;0,0000;0,01700000000000000;0,01700000000000000;0,1472727272727270;0,1669962210457220;1;1;10;0,5;0;0,0;0;10;15;150;200;0,1000000000000000;0,1
32;32;500;0,0000;0,02772727272727270;0,02772727272727270;0,1380000000000000;0,1696822067337980;1;1;10;0,5;0;0,0;0;10;15;250;200;0,0600000000000000;0,1
35;35;700;0,0000;0,01558823529411760;0,01558823529411760;0,1404878048780490;0,1610039008768450;1;1;10;0,5;0;0,0;0;10;15;450;200;0,0333333333333333;0,1
38;38;800;0,0000;0,07484375000000000;0,07484375000000000;0,1916949152542370;0,1817292656898780;1;1;10;0,5;0;0,0;0;10;25;100;200;0,2500000000000000;0,1
41;41;800;0,0000;0,45306122448979602;0,45306122448979602;0,3859210526315790;0,3566031505995760;1;1;10;0,5;0;0,0;0;10;25;150;200;0,1666666666666667;0,1
44;44;900;0,0000;0,02136363636363640;0,02136363636363640;0,1631730769230770;0,1674609373419510;1;1;10;0,5;0;0,0;0;10;25;250;200;0,1000000000000000;0,1
47;47;1700;1,0000;0,94423076923076898;0,05576923076923080;0,6710377358490570;0,3392454631630750;1;1;10;0,5;0;0,0;0;10;25;450;200;0,0555555555555556;0,1
50;50;1000;0,0000;0,02305555555555560;0,02305555555555560;0,1882352941176470;0,1712390829495760;1;1;10;0,5;0;0,0;0;10;30;100;200;0,3000000000000000;0,1
53;53;900;0,0000;0,37222222222222201;0,37222222222222201;0,3450595238095240;0,3016925088698830;1;1;10;0,5;0;0,0;0;10;30;150;200;0,2000000000000000;0,1
56;56;1500;0,0000;0,69271929824561396;0,69271929824561396;0,4900476190476190;0,3778223885981440;1;1;10;0,5;0;0,0;0;10;30;250;200;0,1200000000000000;0,1
59;59;700;0,0000;0,35734693877550999;0,35734693877550999;0,3343835616438360;0,3529517841692400;1;1;10;0,5;0;0,0;0;10;30;450;200;0,0666666666666667;0,1
62;62;1000;0,0000;0,05383720930232560;0,05383720930232560;0,1596052631578950;0,1571427443608620;1;1;10;0,5;0;0,0;0;10;40;100;200;0,4000000000000000;0,1
65;65;600;0,0000;0,05750000000000000;0,05750000000000000;0,1556862745098040;0,1540455114822990;1;1;10;0,5;0;0,0;0;10;40;150;200;0,2666666666666667;0,1
68;68;1000;0,0000;0,50409090909090903;0,50409090909090903;0,4057142857142860;0,3372437763127050;1;1;10;0,5;0;0,0;0;10;40;250;200;0,1600000000000000;0,1
71;71;800;0,0000;0,61869565217391298;0,61869565217391298;0,5048630136986300;0,3346266292065300;1;1;10;0,5;0;0,0;0;10;40;450;200;0,0888888888888889;0,1
74;74;600;0,0000;0,00972222222222222;0,00972222222222222;0,1224358974358970;0,1566586626146150;1;1;10;0,5;0;0,2;0;10;5;100;200;0,0500000000000000;0,1
77;77;500;0,0000;0,01666666666666670;0,01666666666666670;0,1224358974358970;0,1552072968428110;1;1;10;0,5;0;0,2;0;10;5;150;200;0,0333333333333333;0,1
80;80;600;0,0000;0,00782608695652174;0,00782608695652174;0,1075000000000000;0,1573601261512130;1;1;10;0,5;0;0,2;0;10;5;250;200;0,0200000000000000;0,1
