run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
1;600;0,0000;0,01083333333333333;0,01083333333333333;0,1430769230769231;0,1790314039204954;20;2;10;0;0;0,00;0,0;10;6;50;200;0,120;2,0
2;900;0,0000;0,00800000000000000;0,00800000000000000;0,1660000000000000;0,1827390801896831;20;2;10;0;0;0,00;0,0;10;6;50;200;0,120;2,0
3;900;0,0000;0,00800000000000000;0,00800000000000000;0,1390000000000000;0,1685992713083728;20;2;10;0;0;0,00;0,0;10;6;50;200;0,120;2,0
4;800;0,0000;0,00500000000000000;0,00500000000000000;0,1872727272727273;0,1723131398989009;20;2;10;0;0;0,00;0,0;10;6;100;200;0,060;2,0
5;1000;0,0000;0,01400000000000000;0,01400000000000000;0,1896875000000000;0,1727856933699470;20;2;10;0;0;0,00;0,0;10;6;100;200;0,060;2,0
6;700;0,0000;0,01600000000000000;0,01600000000000000;0,1496153846153846;0,1672630355964015;20;2;10;0;0;0,00;0,0;10;6;100;200;0,060;2,0
7;800;0,0000;0,01100000000000000;0,01100000000000000;0,1184210526315790;0,1566494018109207;20;2;10;0;0;0,00;0,0;10;6;150;200;0,040;2,0
8;NA;0,5990;NA;0,00000000000000000;0,4735294117647059;0,1002711031037709;20;2;10;0;0;0,00;0,0;10;6;150;200;0,040;2,0
9;NA;0,7720;NA;0,00000000000000000;0,6237254901960785;0,1511020950789727;20;2;10;0;0;0,00;0,0;10;6;150;200;0,040;2,0
10;NA;0,7790;NA;0,00000000000000000;0,6838235294117647;0,1345793009169468;20;2;10;0;0;0,00;0,0;10;6;200;200;0,030;2,0
11;700;0,0000;0,02125000000000000;0,02125000000000000;0,1043750000000000;0,1296774845530249;20;2;10;0;0;0,00;0,0;10;6;200;200;0,030;2,0
12;900;0,0000;0,01000000000000000;0,01000000000000000;0,1850000000000000;0,1730162286741200;20;2;10;0;0;0,00;0,0;10;6;200;200;0,030;2,0
13;NA;0,7315;NA;0,00000000000000000;0,5380392156862746;0,1854644937215006;20;2;10;0;0;0,00;0,0;10;6;250;200;0,024;2,0
14;1100;0,0000;0,01000000000000000;0,01000000000000000;0,1588235294117647;0,1627548905924633;20;2;10;0;0;0,00;0,0;10;6;250;200;0,024;2,0
15;NA;0,8995;NA;0,00000000000000000;0,7750000000000000;0,1915933192989777;20;2;10;0;0;0,00;0,0;10;6;250;200;0,024;2,0
16;600;0,0000;0,01500000000000000;0,01500000000000000;0,1130769230769231;0,1400228919013254;20;2;10;0;0;0,00;0,0;10;12;50;200;0,240;2,0
17;800;0,0000;0,00750000000000000;0,00750000000000000;0,1740909090909091;0,1608542536244874;20;2;10;0;0;0,00;0,0;10;12;50;200;0,240;2,0
18;900;0,0000;0,00642857142857143;0,00642857142857143;0,1305882352941176;0,1663005783301464;20;2;10;0;0;0,00;0,0;10;12;50;200;0,240;2,0
19;1000;0,0000;0,00500000000000000;0,00500000000000000;0,1202500000000000;0,1530434664779224;20;2;10;0;0;0,00;0,0;10;12;100;200;0,120;2,0
20;700;0,0000;0,01200000000000000;0,01200000000000000;0,1369230769230769;0,1476840442399819;20;2;10;0;0;0,00;0,0;10;12;100;200;0,120;2,0
21;700;0,0000;0,01071428571428571;0,01071428571428571;0,1263333333333333;0,1571221847874480;20;2;10;0;0;0,00;0,0;10;12;100;200;0,120;2,0
22;900;0,0000;0,00900000000000000;0,00900000000000000;0,1636666666666667;0,1731789605608960;20;2;10;0;0;0,00;0,0;10;12;150;200;0,080;2,0
23;700;0,0000;0,01000000000000000;0,01000000000000000;0,1419230769230769;0,1584763187032801;20;2;10;0;0;0,00;0,0;10;12;150;200;0,080;2,0
24;800;0,0000;0,00900000000000000;0,00900000000000000;0,1403571428571428;0,1541785214727281;20;2;10;0;0;0,00;0,0;10;12;150;200;0,080;2,0
25;1100;0,0000;0,01083333333333333;0,01083333333333333;0,1416666666666667;0,1469693845669907;20;2;10;0;0;0,00;0,0;10;12;200;200;0,060;2,0
26;1900;0,0000;0,01777777777777778;0,01777777777777778;0,1525862068965517;0,1383875296924699;20;2;10;0;0;0,00;0,0;10;12;200;200;0,060;2,0
27;800;0,0000;0,00700000000000000;0,00700000000000000;0,1675000000000000;0,1925911372671291;20;2;10;0;0;0,00;0,0;10;12;200;200;0,060;2,0
28;2400;0,0000;0,03611111111111111;0,03611111111111111;0,1245588235294118;0,1120968713040187;20;2;10;0;0;0,00;0,0;10;12;250;200;0,048;2,0
29;NA;0,7340;NA;0,00000000000000000;0,6451960784313725;0,1546866535429406;20;2;10;0;0;0,00;0,0;10;12;250;200;0,048;2,0
30;1700;0,0000;0,00750000000000000;0,00750000000000000;0,1096666666666667;0,1406569152800244;20;2;10;0;0;0,00;0,0;10;12;250;200;0,048;2,0
