run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
11;500;0,0000;0,01277777777777778;0,01277777777777778;0,0900000000000000;0,1499523733914015;0,1;2;10;0,00;0;0,5;0;10;12;150;200;0,08;0,01
12;500;0,0000;0,01000000000000000;0,01000000000000000;0,1054166666666667;0,1553216359882312;0,1;2;10;0,00;0;0,5;0;10;12;150;200;0,08;0,01
13;500;0,0000;0,01000000000000000;0,01000000000000000;0,1027272727272727;0,1463277765218148;0,1;2;10;0,00;0;0,5;0;10;12;150;200;0,08;0,01
14;600;0,0000;0,00875000000000000;0,00875000000000000;0,1268181818181818;0,1575479724920751;0,1;2;10;0,00;0;0,5;0;10;12;150;200;0,08;0,01
15;500;0,0000;0,00857142857142857;0,00857142857142857;0,0950000000000000;0,1483239697419133;0,1;2;10;0,00;0;0,5;0;10;12;150;200;0,08;0,01
26;500;0,0000;0,00250000000000000;0,00250000000000000;0,1275000000000000;0,1537623398067847;0,1;2;10;0,16;0;0,5;0;10;12;150;200;0,08;0,01
27;500;0,0000;0,01166666666666667;0,01166666666666667;0,1622222222222222;0,1955458883342844;0,1;2;10;0,16;0;0,5;0;10;12;150;200;0,08;0,01
28;500;0,0000;0,00750000000000000;0,00750000000000000;0,1140000000000000;0,1527125113116510;0,1;2;10;0,16;0;0,5;0;10;12;150;200;0,08;0,01
29;500;0,0000;0,00875000000000000;0,00875000000000000;0,1225000000000000;0,1684776608996642;0,1;2;10;0,16;0;0,5;0;10;12;150;200;0,08;0,01
30;500;0,0000;0,01166666666666667;0,01166666666666667;0,1170833333333333;0,1777313899391353;0,1;2;10;0,16;0;0,5;0;10;12;150;200;0,08;0,01
41;400;0,0000;0,00857142857142857;0,00857142857142857;0,0945833333333333;0,1506721053590655;0,1;2;10;0,33;0;0,5;0;10;12;150;200;0,08;0,01
42;500;0,0000;0,01666666666666667;0,01666666666666667;0,1438888888888889;0,1646355402430202;0,1;2;10;0,33;0;0,5;0;10;12;150;200;0,08;0,01
43;500;0,0000;0,01833333333333333;0,01833333333333333;0,1505555555555556;0,1775254285384992;0,1;2;10;0,33;0;0,5;0;10;12;150;200;0,08;0,01
44;500;0,0000;0,00875000000000000;0,00875000000000000;0,1200000000000000;0,1590248058916875;0,1;2;10;0,33;0;0,5;0;10;12;150;200;0,08;0,01
45;500;0,0000;0,01333333333333333;0,01333333333333333;0,1100000000000000;0,1548166070490560;0,1;2;10;0,33;0;0,5;0;10;12;150;200;0,08;0,01
56;500;0,0000;0,01000000000000000;0,01000000000000000;0,1260000000000000;0,1602914013081592;0,1;2;10;0,50;0;0,5;0;10;12;150;200;0,08;0,01
57;500;0,0000;0,00666666666666667;0,00666666666666667;0,1294444444444444;0,1695664406000721;0,1;2;10;0,50;0;0,5;0;10;12;150;200;0,08;0,01
58;500;0,0000;0,00657894736842105;0,00657894736842105;0,0524000000000000;0,1094410038940311;0,1;2;10;0,50;0;0,5;0;10;12;150;200;0,08;0,01
59;500;0,0000;0,00700000000000000;0,00700000000000000;0,1122727272727273;0,1555532647738972;0,1;2;10;0,50;0;0,5;0;10;12;150;200;0,08;0,01
60;500;0,0000;0,01076923076923077;0,01076923076923077;0,0760526315789474;0,1358162458308245;0,1;2;10;0,50;0;0,5;0;10;12;150;200;0,08;0,01
71;700;0,0000;0,01500000000000000;0,01500000000000000;0,1363636363636364;0,1577829348993564;0,1;2;10;0,66;0;0,5;0;10;12;150;200;0,08;0,01
