run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
1;500;0,0000;0,00750000000000000;0,00750000000000000;0,1335000000000000;0,177436217022093;0,1;2;10;0,00;0;0;0;10;12;150;200;0,08;0,01
2;500;0,0000;0,01000000000000000;0,01000000000000000;0,1444444444444445;0,175007936327979;0,1;2;10;0,00;0;0;0;10;12;150;200;0,08;0,01
3;600;0,0000;0,00700000000000000;0,00700000000000000;0,1050000000000000;0,152732683886825;0,1;2;10;0,00;0;0;0;10;12;150;200;0,08;0,01
4;500;0,0000;0,01000000000000000;0,01000000000000000;0,1240909090909091;0,178407093214062;0,1;2;10;0,00;0;0;0;10;12;150;200;0,08;0,01
5;500;0,0000;0,01214285714285714;0,01214285714285714;0,0938461538461539;0,148508611508921;0,1;2;10;0,00;0;0;0;10;12;150;200;0,08;0,01
16;600;0,0000;0,02000000000000000;0,02000000000000000;0,1320833333333333;0,162473191261783;0,1;2;10;0,16;0;0;0;10;12;150;200;0,08;0,01
17;500;0,0000;0,00000000000000000;0,00000000000000000;0,1621428571428571;0,171241961924668;0,1;2;10;0,16;0;0;0;10;12;150;200;0,08;0,01
18;500;0,0000;0,00642857142857143;0,00642857142857143;0,0988461538461538;0,155966794625141;0,1;2;10;0,16;0;0;0;10;12;150;200;0,08;0,01
19;500;0,0000;0,01000000000000000;0,01000000000000000;0,1222222222222222;0,154315243720264;0,1;2;10;0,16;0;0;0;10;12;150;200;0,08;0,01
20;500;0,0000;0,01333333333333333;0,01333333333333333;0,1466666666666667;0,172445643609805;0,1;2;10;0,16;0;0;0;10;12;150;200;0,08;0,01
31;500;0,0000;0,01000000000000000;0,01000000000000000;0,1170833333333333;0,162864393303326;0,1;2;10;0,33;0;0;0;10;12;150;200;0,08;0,01
32;400;0,0000;0,01500000000000000;0,01500000000000000;0,1400000000000000;0,182431493991580;0,1;2;10;0,33;0;0;0;10;12;150;200;0,08;0,01
33;500;0,0000;0,01166666666666667;0,01166666666666667;0,0941666666666667;0,131405571580600;0,1;2;10;0,33;0;0;0;10;12;150;200;0,08;0,01
34;500;0,0000;0,01000000000000000;0,01000000000000000;0,1054545454545455;0,151730922119628;0,1;2;10;0,33;0;0;0;10;12;150;200;0,08;0,01
35;500;0,0000;0,00928571428571429;0,00928571428571429;0,0938461538461538;0,140921873245335;0,1;2;10;0,33;0;0;0;10;12;150;200;0,08;0,01
46;500;0,0000;0,01000000000000000;0,01000000000000000;0,0785294117647059;0,131692880239906;0,1;2;10;0,50;0;0;0;10;12;150;200;0,08;0,01
47;600;0,0000;0,01125000000000000;0,01125000000000000;0,1418181818181818;0,185233268168447;0,1;2;10;0,50;0;0;0;10;12;150;200;0,08;0,01
48;600;0,0000;0,01000000000000000;0,01000000000000000;0,1355555555555556;0,146723473847158;0,1;2;10;0,50;0;0;0;10;12;150;200;0,08;0,01
49;500;0,0000;0,00625000000000000;0,00625000000000000;0,1180000000000000;0,154599841885789;0,1;2;10;0,50;0;0;0;10;12;150;200;0,08;0,01
50;500;0,0000;0,01400000000000000;0,01400000000000000;0,1340909090909091;0,172348747918547;0,1;2;10;0,50;0;0;0;10;12;150;200;0,08;0,01
61;500;0,0000;0,00937500000000000;0,00937500000000000;0,0900000000000000;0,144075300824577;0,1;2;10;0,66;0;0;0;10;12;150;200;0,08;0,01
62;500;0,0000;0,01250000000000000;0,01250000000000000;0,1637500000000000;0,163919623160691;0,1;2;10;0,66;0;0;0;10;12;150;200;0,08;0,01
63;600;0,0000;0,01500000000000000;0,01500000000000000;0,1317857142857143;0,183456210902442;0,1;2;10;0,66;0;0;0;10;12;150;200;0,08;0,01
64;600;0,0000;0,00700000000000000;0,00700000000000000;0,1175000000000000;0,156517498295645;0,1;2;10;0,66;0;0;0;10;12;150;200;0,08;0,01
65;500;0,0000;0,00750000000000000;0,00750000000000000;0,1843750000000000;0,181529956205581;0,1;2;10;0,66;0;0;0;10;12;150;200;0,08;0,01
76;600;0,0000;0,01000000000000000;0,01000000000000000;0,0923529411764706;0,146832362396914;0,1;2;10;0,83;0;0;0;10;12;150;200;0,08;0,01
77;600;0,0000;0,01142857142857143;0,01142857142857143;0,1282142857142857;0,167120490191234;0,1;2;10;0,83;0;0;0;10;12;150;200;0,08;0,01
78;800;0,0000;0,01285714285714286;0,01285714285714286;0,1146875000000000;0,144366071152470;0,1;2;10;0,83;0;0;0;10;12;150;200;0,08;0,01
79;700;0,0000;0,00642857142857143;0,00642857142857143;0,1156666666666667;0,150343258040044;0,1;2;10;0,83;0;0;0;10;12;150;200;0,08;0,01
80;800;0,0000;0,01142857142857143;0,01142857142857143;0,1212500000000000;0,154353490404331;0,1;2;10;0,83;0;0;0;10;12;150;200;0,08;0,01
91;900;0,0000;0,01625000000000000;0,01625000000000000;0,1383333333333333;0,154272486205415;0,1;2;10;1,00;0;0;0;10;12;150;200;0,08;0,01
92;1600;1,0000;0,99600000000000000;0,00400000000000000;0,5700000000000000;0,343143729430714;0,1;2;10;1,00;0;0;0;10;12;150;200;0,08;0,01
93;1300;1,0000;0,98999999999999999;0,01000000000000001;0,7527500000000000;0,246653789967361;0,1;2;10;1,00;0;0;0;10;12;150;200;0,08;0,01
94;1600;1,0000;0,99156250000000001;0,00843749999999999;0,7289393939393939;0,335456213554200;0,1;2;10;1,00;0;0;0;10;12;150;200;0,08;0,01
95;800;0,0000;0,01000000000000000;0,01000000000000000;0,1533333333333333;0,145560567420846;0,1;2;10;1,00;0;0;0;10;12;150;200;0,08;0,01
106;500;0,0000;0,01600000000000000;0,01600000000000000;0,1140909090909091;0,151522575575691;0,2;2;10;0,00;0;0;0;10;12;150;200;0,08;0,02
107;500;0,0000;0,01500000000000000;0,01500000000000000;0,1488888888888889;0,176099719224964;0,2;2;10;0,00;0;0;0;10;12;150;200;0,08;0,02
108;500;0,0000;0,00916666666666667;0,00916666666666667;0,1175000000000000;0,176152052087239;0,2;2;10;0,00;0;0;0;10;12;150;200;0,08;0,02
109;500;0,0000;0,00700000000000000;0,00700000000000000;0,1131818181818182;0,150453858828425;0,2;2;10;0,00;0;0;0;10;12;150;200;0,08;0,02
110;500;0,0000;0,01750000000000000;0,01750000000000000;0,1135000000000000;0,134578560286878;0,2;2;10;0,00;0;0;0;10;12;150;200;0,08;0,02
121;400;0,0000;0,01285714285714286;0,01285714285714286;0,0879166666666667;0,134171842550266;0,2;2;10;0,16;0;0;0;10;12;150;200;0,08;0,02
122;500;0,0000;0,00857142857142857;0,00857142857142857;0,0930769230769231;0,144547259594951;0,2;2;10;0,16;0;0;0;10;12;150;200;0,08;0,02
123;600;0,0000;0,00833333333333333;0,00833333333333333;0,1365000000000000;0,163300166700602;0,2;2;10;0,16;0;0;0;10;12;150;200;0,08;0,02
124;500;0,0000;0,00833333333333333;0,00833333333333333;0,1333333333333333;0,163401346383682;0,2;2;10;0,16;0;0;0;10;12;150;200;0,08;0,02
125;400;0,0000;0,01714285714285714;0,01714285714285714;0,1070833333333333;0,155482509003619;0,2;2;10;0,16;0;0;0;10;12;150;200;0,08;0,02
136;600;0,0000;0,01000000000000000;0,01000000000000000;0,1030769230769231;0,146109811180074;0,2;2;10;0,33;0;0;0;10;12;150;200;0,08;0,02
137;400;0,0000;0,01400000000000000;0,01400000000000000;0,1165000000000000;0,162584166237402;0,2;2;10;0,33;0;0;0;10;12;150;200;0,08;0,02
138;500;0,0000;0,01071428571428571;0,01071428571428571;0,1084615384615385;0,163978969883649;0,2;2;10;0,33;0;0;0;10;12;150;200;0,08;0,02
139;500;0,0000;0,01625000000000000;0,01625000000000000;0,1190000000000000;0,150772087012889;0,2;2;10;0,33;0;0;0;10;12;150;200;0,08;0,02
140;400;0,0000;0,00812500000000000;0,00812500000000000;0,0888461538461539;0,148872902254376;0,2;2;10;0,33;0;0;0;10;12;150;200;0,08;0,02
151;600;0,0000;0,00727272727272727;0,00727272727272727;0,0977777777777778;0,163511307598032;0,2;2;10;0,50;0;0;0;10;12;150;200;0,08;0,02
152;400;0,0000;0,00777777777777778;0,00777777777777778;0,0864285714285714;0,143049595641466;0,2;2;10;0,50;0;0;0;10;12;150;200;0,08;0,02
153;500;0,0000;0,01600000000000000;0,01600000000000000;0,1240909090909091;0,160012783580222;0,2;2;10;0,50;0;0;0;10;12;150;200;0,08;0,02
154;500;0,0000;0,00611111111111111;0,00611111111111111;0,0886666666666667;0,148606223031909;0,2;2;10;0,50;0;0;0;10;12;150;200;0,08;0,02
