run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
5;2600;1,0000;0,97357142857142853;0,02642857142857147;0,850729166666667;0,1495062426054985;55;2;10;0,00;0;0,00;1;10;12;150;200;0,08;5,5
6;4600;1,0000;0,92125000000000001;0,07874999999999999;0,762843137254902;0,1770459118476357;55;2;10;0,00;0;0,00;1;10;12;150;200;0,08;5,5
7;3000;1,0000;0,93100000000000005;0,06899999999999995;0,835294117647059;0,1244886009428409;55;2;10;0,00;0;0,00;1;10;12;150;200;0,08;5,5
8;5000;1,0000;NA;0,00000000000000000;0,674117647058823;0,2102063412039536;55;2;10;0,00;0;0,00;1;10;12;150;200;0,08;5,5
13;NA;0,2225;NA;0,00000000000000000;0,496862745098039;0,1791087959434537;55;2;10;0,00;0;0,25;1;10;12;150;200;0,08;5,5
14;NA;0,3770;NA;0,00000000000000000;0,448627450980392;0,0542132680381154;55;2;10;0,00;0;0,25;1;10;12;150;200;0,08;5,5
15;NA;0,4835;NA;0,00000000000000000;0,552352941176471;0,0603850390508814;55;2;10;0,00;0;0,25;1;10;12;150;200;0,08;5,5
16;2900;0,0000;0,01250000000000000;0,01250000000000000;0,234861111111111;0,1595819812201827;55;2;10;0,00;0;0,25;1;10;12;150;200;0,08;5,5
21;1800;0,0000;0,01333333333333333;0,01333333333333333;0,141428571428571;0,1472014061354509;55;2;10;0,00;0;0,50;1;10;12;150;200;0,08;5,5
22;1400;0,0000;0,00666666666666667;0,00666666666666667;0,164791666666667;0,1760711267262940;55;2;10;0,00;0;0,50;1;10;12;150;200;0,08;5,5
23;1400;0,0000;0,01166666666666667;0,01166666666666667;0,185555555555556;0,1494390382189033;55;2;10;0,00;0;0,50;1;10;12;150;200;0,08;5,5
24;1100;0,0000;0,01250000000000000;0,01250000000000000;0,176944444444444;0,1832399494787295;55;2;10;0,00;0;0,50;1;10;12;150;200;0,08;5,5
29;1700;1,0000;0,99333333333333329;0,00666666666666671;0,805208333333333;0,1776934290010324;55;2;10;0,16;0;0,00;1;10;12;150;200;0,08;5,5
30;2500;1,0000;0,98999999999999999;0,01000000000000001;0,741000000000000;0,2116006322916047;55;2;10;0,16;0;0,00;1;10;12;150;200;0,08;5,5
31;1700;1,0000;0,98599999999999999;0,01400000000000001;0,796428571428571;0,2006971974875710;55;2;10;0,16;0;0,00;1;10;12;150;200;0,08;5,5
32;2400;1,0000;0,98190476190476184;0,01809523809523816;0,786086956521739;0,2503617672344434;55;2;10;0,16;0;0,00;1;10;12;150;200;0,08;5,5
37;NA;0,8055;NA;0,00000000000000000;0,714803921568627;0,1069624269746799;55;2;10;0,16;0;0,25;1;10;12;150;200;0,08;5,5
38;NA;0,7595;NA;0,00000000000000000;0,576960784313725;0,1127345485260510;55;2;10;0,16;0;0,25;1;10;12;150;200;0,08;5,5
39;NA;0,6350;NA;0,00000000000000000;0,666470588235294;0,0652632677518300;55;2;10;0,16;0;0,25;1;10;12;150;200;0,08;5,5
40;NA;0,4590;NA;0,00000000000000000;0,512549019607843;0,0478578368610576;55;2;10;0,16;0;0,25;1;10;12;150;200;0,08;5,5
45;NA;0,3840;NA;0,00000000000000000;0,493921568627451;0,0684858651510675;55;2;10;0,16;0;0,50;1;10;12;150;200;0,08;5,5
