run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
1;3600;1,0000;0,87285714285714289;0,12714285714285711;0,7516666666666667;0,1807364563851651;45;3;10;0;0,00;0,0;0;10;3;50;200;0,060000000000000;4,5
2;2300;1,0000;0,96777777777777774;0,03222222222222226;0,8188235294117647;0,2100609155347422;45;3;10;0;0,00;0,0;0;10;3;100;200;0,030000000000000;4,5
3;NA;0,7825;NA;0,00000000000000000;0,6773529411764706;0,1292298453963962;45;3;10;0;0,00;0,0;0;10;3;150;200;0,020000000000000;4,5
4;1400;1,0000;0,95833333333333326;0,04166666666666674;0,8732352941176470;0,1664536678160375;45;3;10;0;0,00;0,0;0;10;3;200;200;0,015000000000000;4,5
5;NA;0,9250;NA;0,00000000000000000;0,8148039215686275;0,1718544756016372;45;3;10;0;0,00;0,0;0;10;3;250;200;0,012000000000000;4,5
6;NA;0,9450;NA;0,00000000000000000;0,8637254901960785;0,1436135200364329;45;3;10;0;0,00;0,0;0;10;3;300;200;0,010000000000000;4,5
7;NA;0,7310;NA;0,00000000000000000;0,6905882352941176;0,0901534639313628;45;3;10;0;0,00;0,0;0;10;3;500;200;0,006000000000000;4,5
8;NA;0,5450;NA;0,00000000000000000;0,5247058823529412;0,0268032043738409;45;3;10;0;0,00;0,0;0;10;3;1000;200;0,003000000000000;4,5
9;NA;0,6195;NA;0,00000000000000000;0,5439215686274510;0,1033794647185320;45;3;10;0;0,00;0,0;0;10;6;50;200;0,120000000000000;4,5
10;NA;0,8760;NA;0,00000000000000000;0,7553921568627451;0,1513005060707164;45;3;10;0;0,00;0,0;0;10;6;100;200;0,060000000000000;4,5
11;NA;0,8860;NA;0,00000000000000000;0,6793137254901961;0,1873526610642164;45;3;10;0;0,00;0,0;0;10;6;150;200;0,040000000000000;4,5
12;1700;1,0000;0,96787878787878789;0,03212121212121211;0,8898039215686274;0,1368903239250814;45;3;10;0;0,00;0,0;0;10;6;200;200;0,030000000000000;4,5
13;2700;1,0000;0,97642857142857142;0,02357142857142858;0,8011428571428572;0,1905374971367212;45;3;10;0;0,00;0,0;0;10;6;250;200;0,024000000000000;4,5
14;1700;1,0000;0,97899999999999998;0,02100000000000002;0,8107142857142857;0,1756876135819983;45;3;10;0;0,00;0,0;0;10;6;300;200;0,020000000000000;4,5
15;2600;1,0000;0,97437499999999999;0,02562500000000001;0,8525490196078431;0,1706527835958722;45;3;10;0;0,00;0,0;0;10;6;500;200;0,012000000000000;4,5
16;3500;1,0000;0,94633333333333325;0,05366666666666675;0,8592156862745098;0,1053820314333502;45;3;10;0;0,00;0,0;0;10;6;1000;200;0,006000000000000;4,5
17;1900;0,0000;0,01156250000000000;0,01156250000000000;0,1165277777777778;0,1354664926648676;45;3;10;0;0,00;0,0;0;10;9;50;200;0,180000000000000;4,5
18;3800;1,0000;0,94750000000000001;0,05249999999999999;0,7292156862745098;0,2341076089088512;45;3;10;0;0,00;0,0;0;10;9;100;200;0,090000000000000;4,5
19;5000;1,0000;NA;0,00000000000000000;0,6746078431372549;0,2037960822421641;45;3;10;0;0,00;0,0;0;10;9;150;200;0,060000000000000;4,5
20;2700;1,0000;0,96324999999999994;0,03675000000000006;0,8363541666666666;0,1583819097749855;45;3;10;0;0,00;0,0;0;10;9;200;200;0,045000000000000;4,5
21;1300;1,0000;0,97097222222222224;0,02902777777777776;0,9130000000000000;0,1196465884279572;45;3;10;0;0,00;0,0;0;10;9;250;200;0,036000000000000;4,5
22;NA;0,9125;NA;0,00000000000000000;0,7448039215686275;0,1611488777010679;45;3;10;0;0,00;0,0;0;10;9;300;200;0,030000000000000;4,5
23;NA;0,8960;NA;0,00000000000000000;0,7934313725490196;0,1504742177121331;45;3;10;0;0,00;0,0;0;10;9;500;200;0,018000000000000;4,5
24;1400;1,0000;0,97236111111111112;0,02763888888888888;0,9069607843137255;0,1329250857865909;45;3;10;0;0,00;0,0;0;10;9;1000;200;0,009000000000000;4,5
25;NA;0,8025;NA;0,00000000000000000;0,5225490196078432;0,2117648992373845;45;3;10;0;0,00;0,0;0;10;12;50;200;0,240000000000000;4,5
26;4400;1,0000;0,93333333333333335;0,06666666666666665;0,6176470588235294;0,2389212274813113;45;3;10;0;0,00;0,0;0;10;12;100;200;0,120000000000000;4,5
27;NA;0,8960;NA;0,00000000000000000;0,6476470588235294;0,2145305408122034;45;3;10;0;0,00;0,0;0;10;12;150;200;0,080000000000000;4,5
28;4100;1,0000;0,95055555555555549;0,04944444444444451;0,8006862745098039;0,1857041184461000;45;3;10;0;0,00;0,0;0;10;12;200;200;0,060000000000000;4,5
29;4300;1,0000;0,94000000000000006;0,05999999999999994;0,8037254901960784;0,1212099135271324;45;3;10;0;0,00;0,0;0;10;12;250;200;0,048000000000000;4,5
30;NA;0,8735;NA;0,00000000000000000;0,7793137254901961;0,1621080491766005;45;3;10;0;0,00;0,0;0;10;12;300;200;0,040000000000000;4,5
31;2400;1,0000;0,95057692307692310;0,04942307692307690;0,8022549019607843;0,2024186595289332;45;3;10;0;0,00;0,0;0;10;12;500;200;0,024000000000000;4,5
32;1900;1,0000;0,97777777777777775;0,02222222222222225;0,8037931034482758;0,2006046893253254;45;3;10;0;0,00;0,0;0;10;12;1000;200;0,012000000000000;4,5
33;1800;0,0000;0,01312500000000000;0,01312500000000000;0,2322222222222222;0,2040660400898413;45;3;10;0;0,00;0,0;0;10;15;50;200;0,300000000000000;4,5
34;3500;1,0000;0,92466666666666664;0,07533333333333336;0,7682352941176470;0,1884272366973835;45;3;10;0;0,00;0,0;0;10;15;100;200;0,150000000000000;4,5
35;NA;0,9135;NA;0,00000000000000000;0,7118627450980393;0,1642496903629158;45;3;10;0;0,00;0,0;0;10;15;150;200;0,100000000000000;4,5
36;3600;1,0000;0,93607142857142855;0,06392857142857145;0,7239215686274509;0,2241368192098081;45;3;10;0;0,00;0,0;0;10;15;200;200;0,075000000000000;4,5
37;4000;1,0000;0,97999999999999998;0,02000000000000002;0,7918627450980392;0,1777525268014880;45;3;10;0;0,00;0,0;0;10;15;250;200;0,060000000000000;4,5
38;2500;1,0000;0,98041666666666660;0,01958333333333340;0,7496052631578948;0,2323975553987913;45;3;10;0;0,00;0,0;0;10;15;300;200;0,050000000000000;4,5
39;2200;1,0000;0,98699999999999999;0,01300000000000001;0,7726785714285714;0,1773074445537465;45;3;10;0;0,00;0,0;0;10;15;500;200;0,030000000000000;4,5
40;2000;1,0000;0,95314814814814808;0,04685185185185192;0,8590625000000000;0,1564386095688330;45;3;10;0;0,00;0,0;0;10;15;1000;200;0,015000000000000;4,5
41;1200;0,0000;0,01750000000000000;0,01750000000000000;0,1882352941176471;0,1718824196259483;45;3;10;0;0,00;0,0;0;10;21;50;200;0,420000000000000;4,5
42;NA;0,6610;NA;0,00000000000000000;0,5846078431372549;0,0871770791966266;45;3;10;0;0,00;0,0;0;10;21;100;200;0,210000000000000;4,5
43;NA;0,7990;NA;0,00000000000000000;0,6203921568627451;0,2259089266435811;45;3;10;0;0,00;0,0;0;10;21;150;200;0,140000000000000;4,5
44;5000;1,0000;NA;0,00000000000000000;0,7324509803921568;0,1479167757525143;45;3;10;0;0,00;0,0;0;10;21;200;200;0,105000000000000;4,5
45;NA;0,8525;NA;0,00000000000000000;0,6567647058823529;0,1927091682546831;45;3;10;0;0,00;0,0;0;10;21;250;200;0,084000000000000;4,5
46;4400;1,0000;0,97833333333333328;0,02166666666666672;0,6333333333333333;0,2569429249204319;45;3;10;0;0,00;0,0;0;10;21;300;200;0,070000000000000;4,5
47;2600;1,0000;0,97499999999999998;0,02500000000000002;0,7492307692307693;0,2277161739324753;45;3;10;0;0,00;0,0;0;10;21;500;200;0,042000000000000;4,5
48;4200;1,0000;0,93437499999999996;0,06562500000000004;0,7990196078431373;0,1622652754222022;45;3;10;0;0,00;0,0;0;10;21;1000;200;0,021000000000000;4,5
49;1300;0,0000;0,00666666666666667;0,00666666666666667;0,2441176470588235;0,2001346054387338;45;3;10;0;0,00;0,0;0;10;27;50;200;0,540000000000000;4,5
50;1300;0,0000;0,01375000000000000;0,01375000000000000;0,1686111111111111;0,1463155891693941;45;3;10;0;0,00;0,0;0;10;27;100;200;0,270000000000000;4,5
51;1100;0,0000;0,01625000000000000;0,01625000000000000;0,1862500000000000;0,1672971408402825;45;3;10;0;0,00;0,0;0;10;27;150;200;0,180000000000000;4,5
52;NA;0,8760;NA;0,00000000000000000;0,5948039215686275;0,2221147468861843;45;3;10;0;0,00;0,0;0;10;27;200;200;0,135000000000000;4,5
53;NA;0,7805;NA;0,00000000000000000;0,5504901960784314;0,1841690932321729;45;3;10;0;0,00;0,0;0;10;27;250;200;0,108000000000000;4,5
54;NA;0,8540;NA;0,00000000000000000;0,6343137254901960;0,2185886996343661;45;3;10;0;0,00;0,0;0;10;27;300;200;0,090000000000000;4,5
55;2800;1,0000;0,95840909090909088;0,04159090909090912;0,8162745098039216;0,1852669510119247;45;3;10;0;0,00;0,0;0;10;27;500;200;0,054000000000000;4,5
56;2700;1,0000;0,97434782608695647;0,02565217391304353;0,8484313725490196;0,1794728118576138;45;3;10;0;0,00;0,0;0;10;27;1000;200;0,027000000000000;4,5
57;1200;0,0000;0,01142857142857143;0,01142857142857143;0,1607500000000000;0,1540956213729507;45;3;10;0;0,00;0,0;0;10;33;50;200;0,660000000000000;4,5
58;1700;0,0000;0,01000000000000000;0,01000000000000000;0,2158695652173913;0,1719517121297367;45;3;10;0;0,00;0,0;0;10;33;100;200;0,330000000000000;4,5
59;1900;0,0000;0,00500000000000000;0,00500000000000000;0,2818181818181818;0,1762543174381394;45;3;10;0;0,00;0,0;0;10;33;150;200;0,220000000000000;4,5
60;NA;0,7955;NA;0,00000000000000000;0,4327450980392157;0,2601736222707640;45;3;10;0;0,00;0,0;0;10;33;200;200;0,165000000000000;4,5
61;1100;0,0000;0,63051282051282054;0,63051282051282054;0,5280392156862745;0,2885170331737323;45;3;10;0;0,00;0,0;0;10;33;250;200;0,132000000000000;4,5
62;1000;0,0000;0,63462499999999999;0,63462499999999999;0,5370588235294118;0,3041433485555590;45;3;10;0;0,00;0,0;0;10;33;300;200;0,110000000000000;4,5
63;5000;1,0000;NA;0,00000000000000000;0,7231372549019608;0,1860429003867488;45;3;10;0;0,00;0,0;0;10;33;500;200;0,066000000000000;4,5
64;2000;1,0000;0,92783333333333329;0,07216666666666671;0,8113725490196079;0,1940027794423898;45;3;10;0;0,00;0,0;0;10;33;1000;200;0,033000000000000;4,5
65;1200;0,0000;0,01083333333333333;0,01083333333333333;0,1847368421052631;0,1854908928897299;45;3;10;0;0,00;0,0;0;10;40;50;200;0,800000000000000;4,5
66;1200;0,0000;0,01800000000000000;0,01800000000000000;0,1869444444444444;0,1629158831032759;45;3;10;0;0,00;0,0;0;10;40;100;200;0,400000000000000;4,5
67;1700;0,0000;0,00600000000000000;0,00600000000000000;0,1732608695652174;0,1475220222054088;45;3;10;0;0,00;0,0;0;10;40;150;200;0,266666666666667;4,5
68;1200;0,0000;0,01333333333333333;0,01333333333333333;0,2259375000000000;0,1678314506680239;45;3;10;0;0,00;0,0;0;10;40;200;200;0,200000000000000;4,5
69;NA;0,7980;NA;0,00000000000000000;0,5614705882352942;0,2199211088496215;45;3;10;0;0,00;0,0;0;10;40;250;200;0,160000000000000;4,5
70;NA;0,7345;NA;0,00000000000000000;0,3640196078431372;0,2267069024265541;45;3;10;0;0,00;0,0;0;10;40;300;200;0,133333333333333;4,5
71;4700;1,0000;0,96499999999999997;0,03500000000000003;0,6908823529411765;0,2069944585788541;45;3;10;0;0,00;0,0;0;10;40;500;200;0,080000000000000;4,5
72;3100;1,0000;0,99062499999999998;0,00937500000000002;0,8157500000000000;0,1736617327907833;45;3;10;0;0,00;0,0;0;10;40;1000;200;0,040000000000000;4,5
73;4900;1,0000;0,95999999999999996;0,04000000000000004;0,6947058823529412;0,1756001473937476;45;3;10;0;0,00;0,0;1;10;3;50;200;0,060000000000000;4,5
74;1700;1,0000;0,91833333333333333;0,08166666666666667;0,8344117647058823;0,1541384022845168;45;3;10;0;0,00;0,0;1;10;3;100;200;0,030000000000000;4,5
75;1800;1,0000;0,98078124999999994;0,01921875000000006;0,8635294117647059;0,1877213203598543;45;3;10;0;0,00;0,0;1;10;3;150;200;0,020000000000000;4,5
76;4100;1,0000;0,96499999999999997;0,03500000000000003;0,8325490196078431;0,1624357489871599;45;3;10;0;0,00;0,0;1;10;3;200;200;0,015000000000000;4,5
77;2600;1,0000;0,95499999999999996;0,04500000000000004;0,8561764705882353;0,1524256810228976;45;3;10;0;0,00;0,0;1;10;3;250;200;0,012000000000000;4,5
78;NA;0,7680;NA;0,00000000000000000;0,6525490196078432;0,1357032517997251;45;3;10;0;0,00;0,0;1;10;3;300;200;0,010000000000000;4,5
79;NA;0,8040;NA;0,00000000000000000;0,7606862745098040;0,0806722976482208;45;3;10;0;0,00;0,0;1;10;3;500;200;0,006000000000000;4,5
80;NA;0,5500;NA;0,00000000000000000;0,5269607843137255;0,0391673133029641;45;3;10;0;0,00;0,0;1;10;3;1000;200;0,003000000000000;4,5
