X;run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
2;2;600;0,0000;0,00666666666666667;0,00666666666666667;0,1134615384615380;0,1580794185341740;0,1;1;10;1;0;0,0;0,0;10;5;100;200;0,0500000000000000;0,01
5;5;600;0,0000;0,01916666666666670;0,01916666666666670;0,1153846153846150;0,1436932719728260;0,1;1;10;1;0;0,0;0,0;10;5;150;200;0,0333333333333333;0,01
8;8;500;0,0000;0,00250000000000000;0,00250000000000000;0,1412500000000000;0,1624093153556340;0,1;1;10;1;0;0,0;0,0;10;5;250;200;0,0200000000000000;0,01
11;11;600;0,0000;0,00625000000000000;0,00625000000000000;0,1231818181818180;0,1583393938234060;0,1;1;10;1;0;0,0;0,0;10;5;450;200;0,0111111111111111;0,01
14;14;1000;0,0000;0,00400000000000000;0,00400000000000000;0,1646875000000000;0,1760158018474480;0,1;1;10;1;0;0,0;0,0;10;10;100;200;0,1000000000000000;0,01
17;17;600;0,0000;0,01000000000000000;0,01000000000000000;0,1403846153846150;0,1740146250853350;0,1;1;10;1;0;0,0;0,0;10;10;150;200;0,0666666666666667;0,01
20;20;600;0,0000;0,01666666666666670;0,01666666666666670;0,1384615384615380;0,1718209413821140;0,1;1;10;1;0;0,0;0,0;10;10;250;200;0,0400000000000000;0,01
23;23;600;0,0000;0,01166666666666670;0,01166666666666670;0,1325000000000000;0,1503930036788800;0,1;1;10;1;0;0,0;0,0;10;10;450;200;0,0222222222222222;0,01
26;26;1800;1,0000;0,98499999999999999;0,01500000000000000;0,6754166666666670;0,2433860623830350;0,1;1;10;1;0;0,0;0,0;10;15;100;200;0,1500000000000000;0,01
29;29;900;0,0000;0,53000000000000003;0,53000000000000003;0,4461764705882350;0,3757619709650370;0,1;1;10;1;0;0,0;0,0;10;15;150;200;0,1000000000000000;0,01
32;32;800;0,0000;0,01833333333333330;0,01833333333333330;0,1340000000000000;0,1548639956311900;0,1;1;10;1;0;0,0;0,0;10;15;250;200;0,0600000000000000;0,01
35;35;1600;1,0000;0,98750000000000004;0,01250000000000000;0,6691304347826090;0,2945128958972800;0,1;1;10;1;0;0,0;0,0;10;15;450;200;0,0333333333333333;0,01
38;38;2100;1,0000;0,98777777777777798;0,01222222222222220;0,7319354838709680;0,2203961487086180;0,1;1;10;1;0;0,0;0,0;10;25;100;200;0,2500000000000000;0,01
41;41;1700;1,0000;0,98642857142857099;0,01357142857142860;0,6846000000000000;0,2867705238223300;0,1;1;10;1;0;0,0;0,0;10;25;150;200;0,1666666666666667;0,01
44;44;1400;1,0000;0,99321428571428605;0,00678571428571428;0,7855172413793100;0,2731866997245730;0,1;1;10;1;0;0,0;0,0;10;25;250;200;0,1000000000000000;0,01
47;47;1200;1,0000;0,98499999999999999;0,01500000000000000;0,7472222222222220;0,2373705357491320;0,1;1;10;1;0;0,0;0,0;10;25;450;200;0,0555555555555556;0,01
50;50;2100;1,0000;0,98357142857142899;0,01642857142857150;0,8091379310344829;0,1479688007988580;0,1;1;10;1;0;0,0;0,0;10;30;100;200;0,3000000000000000;0,01
53;53;2200;1,0000;0,98999999999999999;0,01000000000000000;0,6478333333333330;0,2788791708859290;0,1;1;10;1;0;0,0;0,0;10;30;150;200;0,2000000000000000;0,01
56;56;1100;1,0000;0,98333333333333295;0,01666666666666670;0,7370000000000000;0,2227330240444820;0,1;1;10;1;0;0,0;0,0;10;30;250;200;0,1200000000000000;0,01
59;59;1300;1,0000;0,99350000000000005;0,00649999999999995;0,7679166666666670;0,2520391475228760;0,1;1;10;1;0;0,0;0,0;10;30;450;200;0,0666666666666667;0,01
62;62;2900;1,0000;0,98499999999999999;0,01500000000000000;0,7790243902439020;0,1687276633816870;0,1;1;10;1;0;0,0;0,0;10;40;100;200;0,4000000000000000;0,01
65;65;1800;1,0000;0,98499999999999999;0,01500000000000000;0,7952941176470590;0,2129124915434940;0,1;1;10;1;0;0,0;0,0;10;40;150;200;0,2666666666666667;0,01
68;68;1100;1,0000;0,98999999999999999;0,01000000000000000;0,8280952380952380;0,1960514995509870;0,1;1;10;1;0;0,0;0,0;10;40;250;200;0,1600000000000000;0,01
71;71;1500;1,0000;0,99208333333333298;0,00791666666666668;0,7621428571428570;0,2654396373155320;0,1;1;10;1;0;0,0;0,0;10;40;450;200;0,0888888888888889;0,01
74;74;600;0,0000;0,01125000000000000;0,01125000000000000;0,0986666666666667;0,1453501519320380;0,1;1;10;1;0;0,0;0,5;10;5;100;200;0,0500000000000000;0,01
77;77;600;0,0000;0,01300000000000000;0,01300000000000000;0,1095833333333330;0,1462323545428700;0,1;1;10;1;0;0,0;0,5;10;5;150;200;0,0333333333333333;0,01
80;80;600;0,0000;0,00625000000000000;0,00625000000000000;0,1033333333333330;0,1636816014910250;0,1;1;10;1;0;0,0;0,5;10;5;250;200;0,0200000000000000;0,01
83;83;500;0,0000;0,01357142857142860;0,01357142857142860;0,1015384615384620;0,1547899735042160;0,1;1;10;1;0;0,0;0,5;10;5;450;200;0,0111111111111111;0,01
86;86;500;0,0000;0,01250000000000000;0,01250000000000000;0,1035000000000000;0,1251010702503290;0,1;1;10;1;0;0,0;0,5;10;10;100;200;0,1000000000000000;0,01
89;89;800;0,0000;0,01055555555555560;0,01055555555555560;0,1238888888888890;0,1616964799678300;0,1;1;10;1;0;0,0;0,5;10;10;150;200;0,0666666666666667;0,01
92;92;700;0,0000;0,00857142857142857;0,00857142857142857;0,1256666666666670;0,1691667253108040;0,1;1;10;1;0;0,0;0,5;10;10;250;200;0,0400000000000000;0,01
95;95;600;0,0000;0,01000000000000000;0,01000000000000000;0,1480000000000000;0,1731601699134200;0,1;1;10;1;0;0,0;0,5;10;10;450;200;0,0222222222222222;0,01
98;98;1500;1,0000;0,99199999999999999;0,00800000000000001;0,7600000000000000;0,2365586608010790;0,1;1;10;1;0;0,0;0,5;10;15;100;200;0,1500000000000000;0,01
101;101;1800;1,0000;0,98642857142857099;0,01357142857142860;0,6073076923076920;0,3384884954299950;0,1;1;10;1;0;0,0;0,5;10;15;150;200;0,1000000000000000;0,01
104;104;1900;1,0000;0,98499999999999999;0,01500000000000000;0,5131250000000001;0,3450009845606620;0,1;1;10;1;0;0,0;0,5;10;15;250;200;0,0600000000000000;0,01
107;107;600;0,0000;0,01250000000000000;0,01250000000000000;0,1295454545454550;0,1610970909956870;0,1;1;10;1;0;0,0;0,5;10;15;450;200;0,0333333333333333;0,01
110;110;1500;1,0000;0,98750000000000004;0,01250000000000000;0,8009090909090910;0,1586373249453010;0,1;1;10;1;0;0,0;0,5;10;25;100;200;0,2500000000000000;0,01
113;113;1400;1,0000;0,98999999999999999;0,01000000000000000;0,7511111111111110;0,1929458591811790;0,1;1;10;1;0;0,0;0,5;10;25;150;200;0,1666666666666667;0,01
116;116;1700;1,0000;0,99500000000000000;0,00500000000000000;0,6982608695652170;0,2401070248851740;0,1;1;10;1;0;0,0;0,5;10;25;250;200;0,1000000000000000;0,01
119;119;1200;1,0000;0,99399999999999999;0,00600000000000001;0,7380555555555560;0,2648814323477850;0,1;1;10;1;0;0,0;0,5;10;25;450;200;0,0555555555555556;0,01
122;122;2000;1,0000;0,98409090909090902;0,01590909090909090;0,7909375000000000;0,1887755003069230;0,1;1;10;1;0;0,0;0,5;10;30;100;200;0,3000000000000000;0,01
125;125;1800;1,0000;0,98599999999999999;0,01400000000000000;0,6202083333333330;0,2580886229938090;0,1;1;10;1;0;0,0;0,5;10;30;150;200;0,2000000000000000;0,01
128;128;1300;1,0000;0,98277777777777797;0,01722222222222220;0,7839130434782610;0,2216926441235660;0,1;1;10;1;0;0,0;0,5;10;30;250;200;0,1200000000000000;0,01
131;131;1100;1,0000;0,98833333333333295;0,01166666666666670;0,7791666666666670;0,2192047793596610;0,1;1;10;1;0;0,0;0,5;10;30;450;200;0,0666666666666667;0,01
134;134;1500;1,0000;0,98312500000000003;0,01687500000000000;0,8054166666666670;0,1658110282865690;0,1;1;10;1;0;0,0;0,5;10;40;100;200;0,4000000000000000;0,01
137;137;1600;1,0000;0,98428571428571399;0,01571428571428570;0,7560416666666669;0,2303540713519210;0,1;1;10;1;0;0,0;0,5;10;40;150;200;0,2666666666666667;0,01
140;140;1700;1,0000;0,98458333333333303;0,01541666666666660;0,7281666666666670;0,2719231741571100;0,1;1;10;1;0;0,0;0,5;10;40;250;200;0,1600000000000000;0,01
143;143;1200;1,0000;0,99250000000000005;0,00750000000000006;0,7561904761904760;0,2572056801564890;0,1;1;10;1;0;0,0;0,5;10;40;450;200;0,0888888888888889;0,01
146;146;600;0,0000;0,01214285714285710;0,01214285714285710;0,1092857142857140;0,1564246825749740;0,1;1;10;1;0;0,0;1,0;10;5;100;200;0,0500000000000000;0,01
