run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
1;3300;1,0000;0,94441176470588228;0,05558823529411772;0,752745098039216;0,2064904688490251;55;2;10;0,00;0;0,00;0;10;12;150;200;0,08;5,5
2;3900;1,0000;0,96999999999999997;0,03000000000000003;0,785098039215686;0,1816245858799916;55;2;10;0,00;0;0,00;0;10;12;150;200;0,08;5,5
3;3900;1,0000;0,94727272727272727;0,05272727272727273;0,810686274509804;0,1330038330569580;55;2;10;0,00;0;0,00;0;10;12;150;200;0,08;5,5
4;2600;1,0000;0,88937500000000003;0,11062499999999997;0,739803921568627;0,2044283756828140;55;2;10;0,00;0;0,00;0;10;12;150;200;0,08;5,5
9;2600;0,0000;0,01062500000000000;0,01062500000000000;0,151428571428571;0,1201994141402689;55;2;10;0,00;0;0,25;0;10;12;150;200;0,08;5,5
10;1300;0,0000;0,00916666666666667;0,00916666666666667;0,187500000000000;0,1638476506745792;55;2;10;0,00;0;0,25;0;10;12;150;200;0,08;5,5
11;NA;0,1415;NA;0,00000000000000000;0,388921568627451;0,1551815508541212;55;2;10;0,00;0;0,25;0;10;12;150;200;0,08;5,5
12;1300;0,0000;0,01083333333333333;0,01083333333333333;0,167500000000000;0,1589314648718616;55;2;10;0,00;0;0,25;0;10;12;150;200;0,08;5,5
17;1700;0,0000;0,01125000000000000;0,01125000000000000;0,247954545454545;0,1834306609029891;55;2;10;0,00;0;0,50;0;10;12;150;200;0,08;5,5
18;1600;0,0000;0,02250000000000000;0,02250000000000000;0,175652173913043;0,1511343799091187;55;2;10;0,00;0;0,50;0;10;12;150;200;0,08;5,5
19;1400;0,0000;0,01500000000000000;0,01500000000000000;0,191458333333333;0,1824082805058516;55;2;10;0,00;0;0,50;0;10;12;150;200;0,08;5,5
