run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
11;400;0,0000;0,00800000000000000;0,00800000000000000;0,1035000000000000;0,1424595459146989;0,1;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,01
12;400;0,0000;0,01583333333333333;0,01583333333333333;0,1109090909090909;0,1586476943075156;0,1;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,01
13;500;0,0000;0,01142857142857143;0,01142857142857143;0,0915384615384615;0,1343562524190913;0,1;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,01
14;500;0,0000;0,00846153846153846;0,00846153846153846;0,0660526315789474;0,1286638487101652;0,1;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,01
15;600;0,0000;0,00750000000000000;0,00750000000000000;0,1272727272727273;0,1698140694460214;0,1;2;10;0,00;0;0,5;1;10;12;150;200;0,08;0,01
26;500;0,0000;0,01000000000000000;0,01000000000000000;0,1029166666666667;0,1467133620569736;0,1;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,01
27;500;0,0000;0,00944444444444444;0,00944444444444444;0,0876666666666667;0,1485629576339687;0,1;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,01
28;500;0,0000;0,00541666666666667;0,00541666666666667;0,0675000000000000;0,1256541705962651;0,1;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,01
29;500;0,0000;0,01214285714285714;0,01214285714285714;0,1003846153846154;0,1469192172939143;0,1;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,01
30;400;0,0000;0,00928571428571429;0,00928571428571429;0,1087500000000000;0,1680114308881717;0,1;2;10;0,16;0;0,5;1;10;12;150;200;0,08;0,01
41;600;0,0000;0,00555555555555556;0,00555555555555556;0,0818750000000000;0,1332775925152712;0,1;2;10;0,33;0;0,5;1;10;12;150;200;0,08;0,01
42;400;0,0000;0,00625000000000000;0,00625000000000000;0,1227777777777778;0,1774491319912398;0,1;2;10;0,33;0;0,5;1;10;12;150;200;0,08;0,01
43;500;0,0000;0,01400000000000000;0,01400000000000000;0,1295454545454545;0,1673537353251272;0,1;2;10;0,33;0;0,5;1;10;12;150;200;0,08;0,01
